Destination,description,temperature,reviews
Cairo,"To Speak about weather, it is important to realize that in Egypt weather is different from one place to another/ The high season for tourism in Egypt is all year withwinter and spring being peak season for cultural travels with lots of sightseeing.Weather in Egypt is perfect for many kinds of tourism, and if coming in June, July and August , head for the seaside resorts. Those months are hot with temperatures that canreach around 45 degreesC. and the humidity is about 70 to 80%, but it is bearable with the sea and large swimming pools nearby. Sothe period of high summer season is also crowded as hotels fill up with tourists from all over the world looking for a bargain, lots of sunshine, diving, snorkelling etc. It isalsoa primary vacation time in Europe. If you come in the deep summer seasonyou can still enjoy it becauseyou can always sightsee early in the morning and go again at night when the sun sets.You will definitely needgoodsunscreen and lot of liquids to drink with a nice hat on your head. It is not true at all that Egypt has only 2 seasons with9 months of summer and the remainder winter.There are 4 distinguishable seasons.The best times to visit Egypt are from September till March, during which time the weather is good; and from September till mid-November, whenit is very nice and thetemperatures are pleasant for all activities -around 25 C to 15 C.Mid-Nov till the end of February is winter time when temperatures during dayare around 12 or 15 degree C, and at nightcan drop to about 7 or 8 C. From March until the end of April,there isusually some sand blown about by high winds. However on some days--perhaps only two or three during this two-month period, the weather can be so dusty that you may be not able to go outside. Butthe majority of days there is just a small amount ofdust in the air because of wind that blows through the desert from the west. Egypt is perfectall year for snorkelling, diving, and so on, in the Red Seaarea in Hurgada and Sharm el Sheikh. In winter time it gets both windy and chilly there, which makes it perfect for windsurfing and kiting.So inspeaking aboutwhen to visit, it's all up to you. If cost doesn't matter, then winter is when you will want to go, especially Christmas and New Year or the period of Easter from mid-March till end of April. That is when the best weather will occur, even though it gets chilly in December and January but it's still suitable for many aspects of tourism during that time. From mid-March till end of April, is the Easter season for Orthodox and Catholic Easter celebrations - theweather is so nice, but rates increase as it is a high demand period. May till September is the summer season. May and September weather isnot so hot as indicated above, while June, July and August are so hot,but ratesare really cheap for flights and also for accommodations. It is advised that youtry thesafari trips in the western desert, where treasures of beauty might be found that nobody knows about and no one thought to explore. Desert safaris are perfect all year long, except it getscold through winter,meaning from end of November till end of February. Wishing all a nice trip!","{'Nov': {'high temp': '74°F 23°C', 'low temp': '57°F 13°C', 'rain': '0 in 0 cm'}, 'Oct': {'high temp': '82°F 27°C', 'low temp': '64°F 17°C', 'rain': '0 in 0 cm'}, 'Dec': {'high temp': '66°F 18°C', 'low temp': '51°F 10°C', 'rain': '0 in 1 cm'}, 'Sep': {'high temp': '89°F 31°C', 'low temp': '70°F 21°C', 'rain': '0 in 0 cm'}, 'Jan': {'high temp': '64°F 17°C', 'low temp': '49°F 9°C', 'rain': '0 in 1 cm'}, 'Aug': {'high temp': '92°F 33°C', 'low temp': '73°F 22°C', 'rain': '0 in 0 cm'}}","['Hi, i am planning to visit Egypt. Kindly advise what is the best month / season to visit for sight-seeing?', 'That depends mostly on your comfort levels. Winter is high season as it is around 20 degrees. June, July and August are usually best avoided as it is usually around 45 degrees (and higher) in the south and 40 degrees in the north. I usually prefer September-October and March-April as it is a bit cooler but still quite hot, and less crowded than winter. Although most things are relatively quiet now, no matter the season.', 'Post no 1 says it all. Avoid Egypt between about May and October when it is too hot for many. However, all the tourist sites are pretty quiet at the moment for political and economic reasons.', 'October, November, December and January are the best months to visit Egypt. it is around 25 degrees during the day. you would feel very comfortable visiting many sites without feeling exhausted, avoid summer (June, July and august) it is hot and very humid too.', ""Thank you so much for all the advice, very much appreciated! I am coming to Egypt for 8 days on 3rd week of October and hopefully it will be enough (though I know it isn't but need to be back at work soon!!!) to visit Cairo, Alexandria and Luxor. Have a great day ahead! :-)Edited: 05 August 2015, 19:00 "", ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 06 August 2016, 16:18""]"
Hurghada,"The air temperature in the summer is in the mid to upper nineties, while in the winter it cools to the low seventies and high sixties. The water temperature is as low as sixty-six degrees and as high as eighty-six degrees. Why mention the water temperature, you ask? For snorkeling, the water temperature can be very important!You can go in the summer, but be prepared for uber-hot weather. Temperatures are more reasonable during the late fall through early spring.The nice thing about Egypt is you really don’t have to plan for rain: rain doesn’t really ever seem to happen. You do, however, need to be mindful of dust storms which happen in late spring to early summer.Be mindful that your trip will be different if you go during the month of Ramadan which was in September/October in 2007 and moves eleven days earlier each year. As you might think, the country is not nearly as convenient for tourists at this time, as stores, restaurants, and government offices often have drastically reduced hours.","{'Nov': {'high temp': '77°F 25°C', 'low temp': '61°F 16°C', 'rain': '0 in 0 cm'}, 'Oct': {'high temp': '85°F 29°C', 'low temp': '70°F 21°C', 'rain': '0 in 0 cm'}, 'Dec': {'high temp': '71°F 21°C', 'low temp': '54°F 12°C', 'rain': '0 in 0 cm'}, 'Sep': {'high temp': '91°F 32°C', 'low temp': '76°F 24°C', 'rain': '0 in 0 cm'}, 'Jan': {'high temp': '68°F 20°C', 'low temp': '51°F 10°C', 'rain': '0 in 0 cm'}, 'Aug': {'high temp': '95°F 35°C', 'low temp': '80°F 26°C', 'rain': '0 in 0 cm'}}","['Hi hope someoneout there can help,originally due to go September but had to cancel. Can anyone recommend when would it be a good time over the next few months? I need some sunshine and would love to sunbathe&snorkel so needs to be decent weather! Also can anyone recommend a place where there is good snorkelling from the hotel and good 4/5 star accomodation?Only going for a week so needs to be good location, food and snorkelling. Thanks V Much.', 'Late March early April is one of the better times to visit Hurghada I would advise against the Hot Summer months as it can get close to 100 degrees during July August during the Autumn Months it is also very pleasant but you can get a fair wind blowing off the Red Sea, I hope this information is of some use to you all the best.Paddy', 'Thanks for getting back . Do you know if its easy to travel to Jordan (Petra ) From Sharm or Hurgada ?', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 23 March 2011, 04:17""]"
Male,,,"['When is the best time to visit Morocco weather wise?', 'Generally speaking: April, May and September.But do bear in mind that there is no single ""Moroccan climate"". Differences between the coast and mountains, and between north and south are enormous.', 'Since we have teens traveling with us, we need to go during the summer holiday - June, July or August.We definately want to visit Marrakech and are intrigued with a camel trip in the desert but otherwise are open to an itinerary.How hot (and humid, I guess) might it be?', 'It will be hot. I went in late October and I was quite surprised how hot it was then.My guidebook lists the maximum temperature in Marrakesh asJune 33 C humidity 48%July 38 C humidity 39%August 37 C humidity 40%', 'thanks guys for replying.... what it like in February? .........activegirl']"
Singapore,,,"['Just looking for advice on best time to travel in terms of - weather. Which are the months when it rains often? I gather it will be warm all the time? - sales. When are the major or best sales on? - cost. Eg months with peak hotel prices ? Thanks very much', ""In comparison to the UK it will be warm and potentially wet any time. Yes if you look at climate diagrams you will see seasonal changes, and if you are resident or present for a long time then you will notice them easily but the similarities and the nature of the weather means that as a snap shot visitor from the UK, you may encounter all forms of weather that SIngapore can offer any time of year. Rain in Singapore hits the island between 13 and 18 days a month, it usually hits as massive cloudbursts that last 30-60mins and then disappear. You will see weather summaries give long lists of days as 'rainy' - with a 50/50 chance of being right on any day thats OK to forecast but doesnt represent how it affects you as the visitor. You have to be in the right place, outside and nowhere near cover for the average storm to bother you. If the rain hits somewhere else, or at a time when you are not out then its effectively invisible. There are rarer days of more persistent rain, these are more common December to Feb or so - but can actually occur any time of year. June saw Orchard Road flooded a couple of years back and thats supposedly one of the drier months - dry is relative. Temperature is relatively constant with highs in the low 30s pretty much year round, and humidity is always high (well except for a brief period after a storm).Sales - well the Great Singapore Sale kicks in most years in June and July. Its an orchestrated event. Be sure you know why SIngapore is a shoppers paradise - its because as a trading point anything can be obtained, not because 'its Asia, so its cheap' which in my experience a lot of people erroneously assume is true. I havent noticed vast changes in hotel prices and an off peak season - this is because its a massive hub so ha tourist throughput and business throughput all through the year. There are some times when the hotel prices go up - THe Grand Prix is one time in late September, the Airshow another in early to mid February from memory. Where you as a visitor will see holiday price variation most will be in airfares - thats where you will see the peak/off peak variation....Singapore Airlines will charge 850-1000GBP for a full price fare, in sale time that can drop to around 650GBP. When is that peak time - well its school holidays mostly - so thats the time I avoid (purely on a cost basis, weather doesnt drive me)."", ""It's warm all year (we are 1 degree north of the Equator). For people not used to the weather it can be unbearable. So although it rains heavily during the northeast monsoon (Dec - Feb) that actually makes it cooler, down to say 25C in the daytime. So for planning purposes I would instead consider if you have another destination in Asia that is weather dependent (for eg diving is seasonal in Thailand, Malaysia, parts of Indonesia and Philippines), then look at whether flights and hotels are attractive then. Being a small country land is scarce so property is expensive. This translates to high hotel rates, exacerbated by a shortage of rooms and increasing numbers of visitors. As Myrm indicates, if not interested in F1, avoid September as for that week prices go up a lot. Forget about shopping, it's not cheap and other than things you could not get at home, not worth lugging back, so the GSS (sale) may not be that interesting to you. Good luck!"", ""March is very pleasant, after the long English winter what a joy to escape and enjoy the warmth of Singapore. It's often fairly dry too. Though Christmas is also nice, but March is our favorite In truth, there's never a bad time to visit one of the better cities in the world.Enjoy.Edited: 1:19 am, June 13, 2013 "", 'Best time is the one when you get a bargains on airfare and hotels........all the rest is irrelevant ( exception ; money is not an issue).', ""I wouldn't say weather should be your main concern other than Nov-Dec rain season.Cost should be on your priority."", 'Considering our crowds, its always a good time to go to Singapore. ;-)', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 12:17 am, June 15, 2014""]"
Colombo,,,"[""Hello out thereI'm thinking of visiting Colombo or nearby in June. Could anyone advise me is this would be a nice time with lots of sun and little rain? Also would like to visit the elephant sanctuary in Pinnawala, dolphin and whale watching, and a national park, so any suggestions.Many thanks"", ""Hi.Yes this is a good season upto November for visit whales/dolphins/snorkeling etc I the east coast. avoid colombo unless you want to do the shopping, and also avoid pinnawala it's more like a zoo and overpriced. can cover your wildlife tour at minneriya where you can witness elephants gathering, roaming freely.Good luckEdited: 20 January 2016, 14:02 "", ""Hi,This is the monsoon season so it will be mixed weather in the south coast and sea maybe not the best for swimming but the weather will excellent for swimming in the east coast so consider places like Arugam Bay, Passekudah, Trincomalee etc for a good beach holiday.Monsoon is mainly the wind and not rain so nothing much to worry about when traveling around the country. However, you may expect some rain with a lot of sun shine. Weather will also be very good for the hill country and North with minimum rainfall. As for national parks, Yala Uda Walawe, Minneriya, Wilpattu etc are recommended. If you plan to go to Elephant orphanage in Pinnawela, plan to go during the feeding times which will be interesting to watch; Go through the following link for more information about the orphanage ;tripadvisor.com/ShowTopic-g293961-i8983-k431…Colombo is good to hangout to get a feel of the city but its only good for shopping, night life, good restaurants etc... the cultural sites are more out of Colombo so head towards them if that's your preference..Happy TravelsTreshi"", ""Thanks Treshi - really helpful and I'll have a good search around.It's our 10th Wedding anniversary so would like to something really memorable xxx"", 'Thanks Ris - very helpful and wanted to do something really special and Sri Lanka sounds amazing! Xxx']"
Galle,,,"['Hi,When would be the best time to visit Sri Lanka especially Galle. Is May a good time?Also our first time there. Is it necessary to get a guided tour? Would prefer a free and easy option tho.Thanks!', 'Hi,The best times to visit southwest of Sri Lanka is from Christmas until mid April and from mid July until end September.First half of May is usually not bad, but the intermonsoon with quite unsettled weather usually starts around mid May.Guide tour for Galle fort? Not strictly necessary.Hans', 'Hi there,May is not bad. But best times area) Xmas to Marchb) Mid July to SeptemberMay can be decent weather, esp. first half; but can also work towards 1st intermonsoon weather which can bring some unsettled days.No need at all for a guided tour once you are in town. For long-distance often driver-annex-guide is recommended because selfdrive is not clever and public transport is limited.At your service,<Erik> & [Sandya]', 'Hi Hans, what about early August in Galle area? coudl be ok?Thanks in advance for you reply Agni', ""Hi Agni,That falls to the best of my knowledge in the timeframe 'mid July to September' ;-) Hence OK. Just beware of the sea, that'll be too rough for swimming except behind reefs like part of Hikkaduwa and Unuwatuna bay. Here some wider weather info.tripadvisor.com/Travel-g293961-c176578/Sri-L…All the best,<Erik> & [Sandya]Edited: 20 March 2013, 15:40 "", 'Great!!Many thanks Hans for you reply!!! so we will need swimming pool :)Best regardsAgnips any reccos for stay (hotel, guest house? ;)', 'Look at the TA lists for Unuwatuna and Hikkaduwa. Both are close enough to Galle and both have beaches, Galle itself has no beach at all...Have fun,<Erik> & [Sandya]', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 22 March 2014, 11:47""]"
Tangelle,,,[]
Bangkok,"The most important thing to know about the weather in Bangkok is that it is hot and steamy almost all the time. Those in the know say there are three seasons: hot, very hot, and absolutely unbearably hot. Actually, there are three slightly definable seasons. The rainy season begins in late May and lasts until October or November. It is warm and humid, and most days have a few showers, especially in the afternoon. At times -- but not all the time -- the rain comes down in buckets, and the thunderstorms can be dramatic. But if you are visiting during this time of year, don't bother to bring a raincoat -- it will be too hot to wear it. Carry an umbrella with you at all times and be prepared to take your shoes off and wade, and you'll be fine.The very best time to visit is late November to mid-January. The Thais call it the cool season, but that really stretches the truth. It's a tropical cool, still humid, but comfortable. Still, you do not need to bring warm clothes. ""Cool"" does not mean you need to change your tropical wardrobe; it just means you sweat a little less.The time of year you do not want to visit is from March until the rainy season begins in May. It is hot, hot, hot. It doesn't seem to faze the Thais at all, but those of us who were born in more hospitable climates start to get a little cranky. It is very hard to get out and see the sights during this time of year; the heat drains you of energy and makes it hard to keep going strong all day.Here is a link to the latest information about Bangkok - Five Day Forecast",,"['Hello there,My sister is hoping to get married next september and visit beautiful Thailand for her honey moon. She is concerned that september may not be the best time to visit as it may be rainy monsoon season????Is she right?I assumed thailand was hot all year round. I would be grateful of any advice from you that i can pass on to my sister.She is thinking of visiting Bangkok, Phuket and another stop too.', 'Hi, fudge,The fine forum members who are year-round Thailand residents can certainly give you the best advice, but here are just a few thoughts...I have travelled to Bangkok on business every month of the year and November-February have been the kindest to me. Mind you, I do my best to stay in air conditioned hotel rooms, restaurants, meeting rooms...anything to survive until Happy Hour ;-)The Amanpuri was wonderful in November. One evening, there was an intense lightning and thunderstorm (perfect conditions for cuddling under the covers :-) ); by dawn, calm and beautiful.Well, hope this helps you and your sister a bit. :) Best wishes,macintosh (Robert)', 'That sounds wonderful. I wish I was going too!!! have passed on your comments to my sister. It sounds like you have the perfect job travelling regularly. ', ""Any time of the year is good. Even rainy season is ok. Most days in rainy season there is no rain or just rain for a few minutes. It's still hot during rainy season. If you're really unlucky you will get a few days non stop rain but that only occurs once or twice a year.Rainy season occurs in thailand at different time depending on the location.Most people reckon the hot season is the one to avoid April to June. It's only a few degrees hotter but it feel a lot more."", 'A Thailand Tourism Authority pamphlet that I have read says November to February is ""winter"" season. I have actually been wondering if that would be right. We\'ll be in Bangkok in another 2 weeks time, hopefully it does stay cool. ', 'Hello FudgeI am only cutting in on your post because you mentioned the weather in Phuket. I also noticed how many posts that you have made yourself and figured that you should hear straight goods from a long term resident. Our ""Monsoon"" wheather system on the West Coast of Thailand arrives about the beginning too the second week of May and does not compleatly leave untill about the middle to the end of November. The wind changes direction at this time of year comming in from the North West and moving to the South East creating poor water conditions for swimming, diving, boating and all of the unprotected beaches in Phuket on the West Coast will have red warning flags displayed everywhere. the winds comming in directly from the sea creats an offshore and vortex type condition like at the bottom of a wier on a river and it is extreamly dangerous to be swimming in the sea off of the beaches due to the undertow. Despite the warnings on the beaches, in the local news papers, airline magazines and even at the seaside hotel reception areas we still loose about 2 persons too drowning every month.The rains are not really constant and usually durring the late evenings and early mornings. However we do get the low preasure frontal systems that come in every now and then that last from 4 - 5 days with heavy rains and strong winds. My wife and I own and opperate a PADI dive center and an adventure tour company in Phuket and this is not a good time of year to be visiting for sunshine and watersports. You may get many replies from revisiting tourists who may have visited durring good periods and missed most of the conditions that I have described and will differ from my views. However we have worked on and belowe the sea here in Phuket for 9 years every day and the weather is a major factor to consider with what we do full time here for a living.If your sister is planning to visit Thailand in September then I would recommend that she plan to stay on the East Coast durring that time of year for the best wheather conditions.I hope she enjoys her holiday and regards from Phuket.Richard & Megumi', 'Thank you so much for the advise. Would February, November or march be a good time to visit please?Thanks', 'Hello fudgeNovember would be fine as long as it as close to the end of the month. Feb. is fine with wonderfull weather and March is also good with hotter temperatures but if she wanted to wait that long then I would recommend comming in April and enjoy the ""Songkran"" festival on the 13th. Regards From PhuketRichard & Megumi', 'Thanks very much PhuketRichard I have passed on your tips to my sister.', 'We went in the beginning of November of this year and it was HOT and HUMID. December has the lowest temps.']"
Koh Samui,"Ko Samui has two seasons, sunny and rainy. The best time to visit the island is without a doubt from December through June. Coming in the off months means heavy rains and potentially torrential storms. Ko Samui weather can become incredibly hot; those affected by weather should consider what month is best for them. December to February is traditionally the best time to go and weather averages around 86 degrees. March through June remains high-season but temperatures climb regularly to 95 degrees. Plenty of sunshine and very little rain exists during this period. October and November are the rainiest months, however, compared to main land Thailand, Ko Samui does not suffer nearly as much rain (as opposed to the Andaman coast side of Thailand) during what's considered the ""rainy season"". People who visit Koh Samui have differing opinions and are affected differently by the weather. Somebody has written above that temperatures in the hottest period reach around 95 fahrenheit , 35c is the more common. If you stay away from the ""wet season "" which is around midOctober to mid December you, on more occasions than not, will be ok. Visiting Koh Samui you should always expect some sort of rain due to the tropical climateThere are several fabulous festivals that will greatly highlight any visit to Ko Samui.One of thebiggest events is the Thai New Year or "" Songkran"" on April 13. The word comes from Sanskrit meaning ""new year"" and the holiday itself was probably brought in from India as much as 2,500 years ago to Thailand and brought into Ko Samui later in its existence with the country. On Songkran day, people everywhere douse each other with water, if this doesn't sound fun to you, the parades and feasts taking place should make up for it. The Ko Samui Music Festival is a grand celebration and one of Asia's largest music fests. Although, tourists should carefully consider coming in for the festival as it takes place September through October. ",,[]
Hua Hin,,,"['Hi what months are the best weather wise to visit Hua Hin?thanks kells', 'The best months are the high season months which are also when hotel prices are at their highest. The best months are probably November through till March when temps are at their lowest and rainfall is usually none although you might get an odd short downpour.But I would also say that Hua Hin is an all year round resort from a weather point of view being the driest part of Thailand, constant rain is a rarity and showers can be most welcome as can a cloudy sky. Worst month weatherwise is probably October as being the wettest but it is also very localised - but here we are on the 6th of the month and barely had enough rain to keep the dust down.', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 15 December 2013, 10:19""]"
Hong Kong,"Updated Weather information and reports can be found the Hong Kong Observatory Website, offering daily and weekly insight into the local weather. This is the go-to source of information for those seeking updated weather forecasts prior to visiting Hong Kong and it is commonly recommended on the Tripadvisor Hong Kong forum. Hong Kong Weather throughout the year Generally speaking, Hong Kong's weather is mainly hot and humid. For this reason, many feel the best time to visit is from November to April during the cool and dry season. Temperatures range from 20-23 degrees celsius, usually with lots of sunshine. There is less rain and the humidity levels are lower, making it a more pleasant time of the year to visit.However, it is important to note that it can get quite chilly during the months of January and February when temperatures occasionally drop below 12 degrees. Most years, there are a few days dropping to 8 degrees or below. Note that even though it says 8 degrees, which sounds mild to Europeans, the biting Siberian monsoon wind makes it feel even colder than the 8 degrees people are used to in the West. Late February to the end of March, Hong Kong starts becoming warmer and humidity begins to rise as the rainy season draws near. Generally speaking, this is a good time to visit as the temperatures are usually cool, not cold and the chances for rain remain low. April to June are the wettest and most humid months. Temperatures begin to rise during this time as do the pollution levels, which can reach alarming figures in areas like Central, Causeway Bay and Mongkok on bad days. This problem remains throughout the Summer and Autumn months until the return of the dry and cool season around November. However, there are still nice days during this Spring season.  July to September is when typhoons are most likely to occur. Temperatures during these months rise to as high as 34 degrees. While this is a peak holiday season due to traditional Summer holidays, many feel this is a much less desirable time to visit Hong Kong, weather-wise. High temperatures, high humidity, frequent heavy rains and the chance for typhoons make it much more difficult to enjoy Hong Kong compared to the cooler and drier months.October is still warm but cooler than summer months. Some rain can be expected but Hong Kong quickly finds itself in the next dry season where temperatures and humidty levels begin to drop as well.  ","{'Nov': {'high temp': '75°F 23°C', 'low temp': '62°F 16°C', 'rain': '2 in 5 cm'}, 'Oct': {'high temp': '82°F 27°C', 'low temp': '71°F 21°C', 'rain': '4 in 9 cm'}, 'Dec': {'high temp': '67°F 19°C', 'low temp': '54°F 12°C', 'rain': '2 in 4 cm'}, 'Sep': {'high temp': '86°F 30°C', 'low temp': '75°F 23°C', 'rain': '11 in 28 cm'}, 'Jan': {'high temp': '63°F 17°C', 'low temp': '52°F 11°C', 'rain': '2 in 6 cm'}, 'Aug': {'high temp': '87°F 30°C', 'low temp': '77°F 25°C', 'rain': '14 in 35 cm'}}",[]
Chiang Mai,"In theory there are 3 seasons in northern Thailand: the cool season from November to Februarythe hot season from March to Junethe rainy season (somewant to call it the green season... more marketable) from July to OctoberIn practice: El Nino is a bad boy, his sister El nina is no better, they're messing up with theweather... well they have an excuse, humansfeed them with carbon dyoxide, but still, it is becoming difficult to predict the weather.This year it'sbeen raining in December and during a large part of May. So you'll understand that the following is not 100% foolproof. Usually the seasons change quite abruptly during the transition months, October/November, February/March, June/July. The landscapes and nature can look quite different, and this might be an important factor for some travellers. For a visual idea visit When is the best time to visit northern Thailand?During the cool season , the max. temperatures reach a comfortable 25° C, nights and early morning are cool in the city (15°), cold in the countryside (10°), possibly freezing in the mountains (ice is reported from time to time at Doi Inthanon). Though you'll probably find it great when you walk around the city, you'll really feel the cold if you decide to ride a motorbike, then theairturns crispy and it's not uncommon to need jacket, gloves and scarf (before noon or after 6 PM). Otherwise the sky is blue, without clouds. The good thing is, you don't need to turn on the air conditioning to sleep. During the hot season, the max. temperatures can reach 40° C and won't drop below 25°Cat night. Many rooms keep the warmth accumulated during the day so you'll definitely need a full blast fan or a proper air con to sleep well. The sun is scorching, play the lizard between noon and 2PM or you'llsoon take on the color ofa boiled lobster (with a burning sensation to match). Another must is to drink loads of water, 4 or 5 liters even if you don't feel thirsty (no you won't spend your time in the toilet, the water evaporates beforehand, through every pore in your skin). Local talcum powder (with cooling effect) works wonders to keep a fresh look. During the raining season, the max. temperatures stay over 30° C, evenings can be hot or cool depending if it has been raining or not. But what you lose in temperature, you gain in humidity, it doesn't make it more comfortable. Bad weather usually comes in 3 to 4 day periods, and alternates with fine weather. So, those fortunate ones can spend a week under the sun most of their time, while others will have rain, rain and more rain... it's a bit of a lottery. Rain comes in every form, at anytime, day and night: heavy downpour for an hour or two, small drizzle all day... better to bring your own raincoat, the plastic ponchoes sold here are real sweat factories. When to come then ? January weather is almost perfect, but it is considered tourist high season and prices for accommodations are at their highest. It may seem exotic to spend the new year's eve in Thailand but there is not much celebration. International restaurants offer traditional meals from their home country. Quite popular with the expats, maybe not for the tourists. February, almost like January weather wise, but with less tourist and prices back to normal. Yearly burn off (crops and forests) can affect the pollution levels in Chiang Mai, usually late Feb. March, you start to feel the heat but it is nothing unbearable. If you like mangoes, it's the right time to come and enjoy the fruit traditionnaly served with sticky rice and coconut milk. Yearly burn off (crops and forrests) can be quite bad during March, take care to look up air pollution levels and wear facemaskswhen walking around or riding motorbikes.April, temperatures are at their peak, but it is also the time for the craziest celebration in the country: Songkran, the water festival also called Thai New Year. Thais come from all the provinces for the occasion. It may prove difficult to find transportation/accommodation during the festival. Festivities last about 5 days, and you don't feel the heat because you're drenched from dawn to dusk with buckets of water (not always the cleanest) thrown by everyone. Could be called the alcohol festival, too, as there is ahuge consumption of various liquors.Consequently thereis a lot of road casualties, beware if you have to drive during this period. The yearly burn off (crops and forrests) usually ends early April.May, the accumulated heat leads to regular evening thunderstorms, much welcome. This could be called the month of Buddha, because he was born, enlighted and died in the month of May. There is alot of genuine celebrations in the many temples. Don't be shy, you can join even if you don't know the local customs. June, usually very similar to May, unless the rainy season comes early. If you're a fruit lover this is your month. Don't miss the Mangosteens and above all the 'jumbo' Lychees. The landscape takes brownish shades after so many months without proper watering. Maybe not the best time for jungle trekking. July, due to dry soils, the first heavy rains of the 'green' season can lead to spectacular floods. In Chiang Mai, the night bazaar area can easily suffer, though it never lasts very long. You should still get a majority of dry days (not always sunny). If you're a photographer, skies can be very dramatic, especially when the sun goes down behind Suthep mountain. August, dry days, rainy days are even its really up to your luckduring whichyou end up. Rivers fill up, it's time to enjoy some rafting, in the Pai area, or to take nice photos of the many waterfalls (great in Doi Inthanon park). September, statisticaly the month with the most rain, not necesserally true. But floods can occur during this time, due to the soils beingsaturated with water. October, the period when the rainy season ends, you just wake up one day, the sky is bright blue and will remain like this for months. Prefer late October, if it's your choice. November, if I had to name the perfect time to visit Chiang Mai, it would be November. The weather is nice, the temperatures in the low30°C, it's not the high season yet, prices are fair. But most importantly, it is the time for the beautiful Loy Krathong Festival. To be honest, it's in Sukhothai that you'll see it under it's most traditional aspect. In Chiang Mai fewer and fewer women put on their best sarong and jewelry, still it is great close to the Mae Ping River. Be careful, there are a lot of firecrackers around (many kinds, they can be bought anywhere), maybe not the best for young children, but kids would definitely love it. December, great weather, high season, prices on the rise, the Night Bazaar is crowded to its maximum, but Christmas in Thailand that sounds so cool... have never seen Santa Claus in shorts, T-shirt & sandalsthough. Overall, it really depends on a variety of factors and for every traveller the importance of these factors will differ.","{'Nov': {'high temp': '83°F 28°C', 'low temp': '65°F 18°C', 'rain': '2 in 5 cm'}, 'Oct': {'high temp': '85°F 29°C', 'low temp': '70°F 21°C', 'rain': '7 in 18 cm'}, 'Dec': {'high temp': '80°F 26°C', 'low temp': '59°F 15°C', 'rain': '1 in 2 cm'}, 'Sep': {'high temp': '85°F 29°C', 'low temp': '72°F 22°C', 'rain': '13 in 33 cm'}, 'Jan': {'high temp': '82°F 27°C', 'low temp': '57°F 13°C', 'rain': '0 in 1 cm'}, 'Aug': {'high temp': '85°F 29°C', 'low temp': '73°F 22°C', 'rain': '12 in 32 cm'}}",[]
Chiang Rai,"Chiang Rai is1280 ft above sea level. The addition of grassy plains, jungle canopies, and rivers generally keep the valley cooler than surrounding regions.The annual average temperature is 25 º C and there are three main seasons in Chiang Rai and all of them tend to offer much lower humidity than the rest of Thailand. It is not unusual for most days to have some sunshine even in the rainy season.The Cool Season: Daytime temperatures greatly contrast with the evening during the cool season. The cool season begins in late October and ends in February. The morning averages 21 º C, but the nighttime can drop an additional 10 to 15 degrees. December and January are the coldest winter months in Chiang Rai. If your hotel has a swimming pool, expect it to be cold, typically 20 º C.The Hot Season: It can run between March and May. The daily temperature in March is 27 º C and late May rises to 36 º. Since April is the warmest month of the year, try to visit Chiang Rai during the transition from the cool season to the hot season. Early March offers refreshing weather. Swimming pools tend to be warmer from late March onwards.The Monsoon Season: This is a particularly misty time of year though most days will feature some sunshine. August & September maybea goodtime to visit as the air is fresh and views are good. Normally in the Wet Season it rains in the afternoon, evening and night time but just for an hour or two. It is very seldom any daylong rains and the worst rain is mid July to mid August. The city very seldom has any serious flooding. The monsoons start in May and end in October. Pack an umbrella, raincoat and track the weather reports for outdoor activities. Aside from the rain, the weather is quite mild. The average temperature hovers at 25 ª C and swimming pools are comfortable.",,[]
Pattaya,,,[]
